address,city,city_state,description,item_url,property_sub_type_name,sale,size_summary,sublease,zip
"530 Western Ave, Brighton, MA  02135",Brighton,"Brighton, MA",n/a,https://bradvisors.com/listings/?propertyId=843386-lease,Street Retail,False,"1,060 - 2,530 SF",False,02135
"745 Boylston Street, Boston, MA  02116",Boston,"Boston, MA","1st Floor: 3,500 SF
Lower Level: 2,360 SF
TOTAL: 5,860 SF",https://bradvisors.com/listings/?propertyId=873302-lease,Street Retail,False,"5,860 SF",False,02116
"916 Dorchester Ave, Boston, MA  02125",Boston,"Boston, MA",TRANSFORMATIONAL SUBMARKET ON REDLINE,https://bradvisors.com/listings/?propertyId=884502-lease,Street Retail,False,"1,250 SF",False,02125
"129 Border Street, Boston, MA  02128",Boston,"Boston, MA","Rare Standalone Asset with Parking Lot
East Boston, MA
+/- 10,000 SF",https://bradvisors.com/listings/?propertyId=886803-lease,Street Retail,False,"10,000 SF",False,02128
"60 Newmarket Square, Boston, MA  02118",Boston,"Boston, MA","3,705 SF AVAILABLE",https://bradvisors.com/listings/?propertyId=890642-lease,Street Retail,False,"3,705 SF",False,02118
"253 Newbury Street, Boston, MA  02116",Boston,"Boston, MA",n/a,https://bradvisors.com/listings/?propertyId=841499-lease,Street Retail,False,"1,050 SF",False,02116
"164 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","1,800 SF RETAIL & 1,400 SF OFFICE F0R LEASE

Type: Retail
Listing Status: Currently Marketing
Neighborhood: Back Bay",https://bradvisors.com/listings/?propertyId=841722-lease,Street Retail,False,"1,400 - 1,800 SF",False,02116
"279 A NEWBURY STREET, Boston, MA  02116",Boston,"Boston, MA","3,500 SF OF RESTAURANT SPACE FOR LEASE
NEWBURY STREET: THE BUSIEST BLOCK

Type: Retail
Neighborhood: Back Bay
Property Details: 3,500 SF
Garden & Parlor Levels",https://bradvisors.com/listings/?propertyId=841725-lease,Restaurant,False,"3,500 SF",False,02116
"33-35 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","980-1,980 RSF available at ground level. Lots of signage and display area. Bathrooms, storage area and HVAC included.

Type: Retail
Listing Status: Currently Marketing
Neighborhood: Back Bay
Property Details: 980-1,980 RSF
Ground Level",https://bradvisors.com/listings/?propertyId=841728-lease,Street Retail,False,"980 - 1,980 SF",False,02116
"279 Newbury Street, Boston, MA  02116",Boston,"Boston, MA","Type: Retail
Neighborhood: Back Bay
Property Details: 2,750 SF
Garden Level

",https://bradvisors.com/listings/?propertyId=841739-lease,Street Retail,False,"2,750 SF",False,02116
"86 Kirkland Street, Cambridge, MA  02138",Cambridge,"Cambridge, MA",n/a,https://bradvisors.com/listings/?propertyId=841949-lease,Street Retail,False,"1,000 - 3,011 SF",False,02138
"420 COMMERCIAL ST, Boston, MA  02109",Boston,"Boston, MA","Type: Retail
Neighborhood: North End
Property Details: 1,740 SF - Street Level
400 SF - Lower Level",https://bradvisors.com/listings/?propertyId=841971-lease,Street Retail,False,"2,140 SF",False,02109
